episode,reward,steps,reward_ma_50
255,500.0,247,238.0
256,0.0,189,236.0
257,200.0,212,236.0
258,400.0,225,242.0
259,400.0,230,248.0
260,600.0,223,256.0
261,600.0,277,260.0
262,400.0,226,262.0
263,600.0,276,266.0
264,700.0,244,280.0
265,0.0,192,276.0
266,100.0,188,274.0
267,100.0,185,270.0
268,100.0,165,264.0
269,400.0,195,270.0
270,600.0,255,276.0
271,100.0,207,270.0
272,100.0,151,270.0
273,400.0,233,272.0
274,200.0,225,272.0
275,300.0,212,270.0
276,200.0,223,270.0
277,400.0,229,276.0
278,200.0,196,280.0
279,600.0,243,286.0
280,300.0,200,286.0
281,500.0,206,290.0
282,300.0,227,294.0
283,500.0,239,300.0
284,400.0,235,302.0
285,300.0,220,304.0
286,400.0,209,310.0
287,300.0,183,312.0
288,400.0,252,320.0
289,200.0,216,322.0
290,600.0,265,328.0
291,1100.0,345,344.0
292,100.0,179,342.0
293,100.0,169,336.0
294,200.0,184,334.0
295,200.0,200,326.0
296,300.0,212,330.0
297,100.0,219,324.0
298,400.0,225,328.0
299,200.0,177,330.0
300,0.0,184,328.0
301,400.0,198,332.0
302,200.0,206,326.0
303,200.0,240,320.0
304,1000.0,344,338.0
305,300.0,200,334.0
306,300.0,167,340.0
307,200.0,159,340.0
308,400.0,245,340.0
309,700.0,280,346.0
310,600.0,243,346.0
311,500.0,245,344.0
312,600.0,267,348.0
313,400.0,260,344.0
314,100.0,184,332.0
315,600.0,299,344.0
316,100.0,169,344.0
317,300.0,238,348.0
318,500.0,245,356.0
319,400.0,227,356.0
320,200.0,206,348.0
321,800.0,276,362.0
322,800.0,302,376.0
323,300.0,207,374.0
324,1400.0,413,398.0
325,1400.0,399,420.0
326,100.0,182,418.0
327,600.0,286,422.0
328,300.0,214,424.0
329,400.0,227,420.0
330,300.0,213,420.0
331,200.0,220,414.0
332,600.0,251,420.0
333,800.0,255,426.0
334,200.0,224,422.0
335,300.0,188,422.0
336,300.0,227,420.0
337,200.0,170,418.0
338,900.0,269,428.0
339,200.0,170,428.0
340,500.0,269,426.0
341,300.0,192,410.0
342,1700.0,438,442.0
343,700.0,300,454.0
344,100.0,206,452.0
345,500.0,268,458.0
346,900.0,359,470.0
347,700.0,257,482.0
348,200.0,194,478.0
349,1400.0,401,502.0
350,1000.0,364,522.0
351,200.0,236,518.0
352,500.0,224,524.0
353,500.0,249,530.0
354,400.0,199,518.0
355,200.0,165,516.0
356,300.0,231,516.0
357,400.0,234,520.0
358,1000.0,310,532.0
359,500.0,243,528.0
360,300.0,209,522.0
361,600.0,252,524.0
362,100.0,136,514.0
363,900.0,350,524.0
364,200.0,222,526.0
365,400.0,257,522.0
366,200.0,168,524.0
367,2100.0,563,560.0
368,1600.0,445,582.0
369,700.0,290,588.0
370,300.0,224,590.0
371,300.0,258,580.0
372,400.0,243,572.0
373,100.0,172,568.0
374,700.0,278,554.0
375,1600.0,419,558.0
376,600.0,260,568.0
377,800.0,279,572.0
378,1300.0,440,592.0
379,1000.0,317,604.0
380,300.0,211,604.0
381,100.0,187,602.0
382,700.0,308,604.0
383,400.0,202,596.0
384,1200.0,369,616.0
385,1600.0,491,642.0
386,300.0,229,642.0
387,300.0,212,644.0
388,1600.0,407,658.0
389,1000.0,319,674.0
390,400.0,240,672.0
391,200.0,204,670.0
392,1700.0,452,670.0
393,400.0,268,664.0
394,400.0,267,670.0
395,1000.0,322,680.0
396,200.0,206,666.0
397,1200.0,403,676.0
398,700.0,298,686.0
399,1700.0,448,692.0
400,300.0,215,678.0
401,1300.0,395,700.0
402,600.0,252,702.0
403,2100.0,497,734.0
404,800.0,283,742.0
405,900.0,296,756.0
406,600.0,251,762.0
407,500.0,251,764.0
408,400.0,243,752.0
409,300.0,214,748.0
410,1000.0,350,762.0
411,1000.0,323,770.0
412,600.0,256,780.0
413,400.0,235,770.0
414,900.0,319,784.0
415,800.0,263,792.0
416,2200.0,528,832.0
417,1900.0,495,828.0
418,800.0,287,812.0
419,500.0,228,808.0
420,800.0,301,818.0
421,300.0,173,818.0
422,1000.0,360,830.0
423,600.0,259,840.0
424,900.0,311,844.0
425,300.0,210,818.0
426,1300.0,382,832.0
427,600.0,237,828.0
428,1300.0,383,828.0
429,1600.0,394,840.0
430,400.0,200,842.0
431,300.0,244,846.0
432,1600.0,413,864.0
433,1800.0,440,892.0
434,600.0,270,880.0
435,600.0,247,860.0
436,200.0,170,858.0
437,600.0,272,864.0
438,500.0,267,842.0
439,700.0,317,836.0
440,1900.0,487,866.0
441,800.0,297,878.0
442,500.0,239,854.0
443,1200.0,391,870.0
444,100.0,177,864.0
445,1200.0,330,868.0
446,900.0,283,882.0
447,1900.0,475,896.0
448,400.0,227,890.0
449,1200.0,389,880.0
450,1400.0,421,902.0
451,2000.0,475,916.0
452,400.0,194,912.0
453,200.0,225,874.0
454,2800.0,688,914.0
455,800.0,315,912.0
456,1900.0,473,938.0
457,200.0,219,932.0
458,2500.0,549,974.0
459,1800.0,438,1004.0
460,2200.0,507,1028.0
461,800.0,297,1024.0
462,2200.0,510,1056.0
463,700.0,277,1062.0
464,1000.0,293,1064.0
465,500.0,239,1058.0
466,400.0,233,1022.0
467,1200.0,355,1008.0
468,2000.0,484,1032.0
469,1700.0,432,1056.0
470,800.0,260,1056.0
471,1500.0,390,1080.0
472,1600.0,431,1092.0
473,600.0,262,1092.0
474,400.0,201,1082.0
475,1200.0,377,1100.0
476,300.0,210,1080.0
477,1200.0,361,1092.0
478,2000.0,499,1106.0
479,1700.0,434,1108.0
480,3100.0,710,1162.0
481,1000.0,354,1176.0
482,700.0,252,1158.0
483,1000.0,327,1142.0
484,1300.0,396,1156.0
485,3000.0,697,1204.0
486,500.0,197,1210.0
487,1000.0,378,1218.0
488,900.0,338,1226.0
489,500.0,220,1222.0
490,1800.0,474,1220.0
491,1100.0,338,1226.0
492,2100.0,554,1258.0
493,2300.0,567,1280.0
494,300.0,207,1284.0
495,1200.0,379,1284.0
496,1800.0,448,1302.0
497,1400.0,412,1292.0
498,400.0,233,1292.0
499,1000.0,318,1288.0
500,200.0,157,1264.0
