episode,reward,steps,reward_ma_50
253,4100.0,861,1434.0
254,1300.0,382,1446.0
255,2300.0,550,1486.0
256,4000.0,857,1560.0
257,3800.0,821,1632.0
258,2800.0,625,1680.0
259,2400.0,603,1724.0
260,4000.0,854,1794.0
261,3200.0,726,1846.0
262,4100.0,862,1918.0
263,3700.0,809,1978.0
264,4100.0,861,2050.0
265,2400.0,538,2080.0
266,1100.0,343,2092.0
267,3900.0,849,2152.0
268,3000.0,671,2192.0
269,4100.0,878,2270.0
270,2800.0,647,2322.0
271,4200.0,861,2362.0
272,4200.0,849,2436.0
273,4100.0,877,2504.0
274,4100.0,862,2564.0
275,4100.0,880,2640.0
276,4100.0,865,2682.0
277,4100.0,843,2748.0
278,4000.0,872,2822.0
279,4000.0,859,2892.0
280,4200.0,865,2964.0
281,4100.0,879,3032.0
282,2600.0,639,3064.0
283,2800.0,625,3094.0
284,3500.0,760,3122.0
285,4100.0,860,3172.0
286,3500.0,748,3224.0
287,4000.0,857,3264.0
288,1400.0,371,3230.0
289,3900.0,868,3224.0
290,4100.0,870,3294.0
291,4100.0,872,3318.0
292,4100.0,865,3362.0
293,4100.0,874,3376.0
294,4200.0,865,3446.0
295,2300.0,566,3416.0
296,3000.0,650,3420.0
297,4200.0,845,3478.0
298,4100.0,866,3516.0
299,4000.0,870,3514.0
300,2100.0,530,3474.0
301,4100.0,843,3488.0
302,3900.0,870,3528.0
303,4200.0,869,3530.0
304,4100.0,860,3586.0
305,2500.0,596,3590.0
306,4000.0,869,3590.0
307,4000.0,867,3594.0
308,3100.0,674,3600.0
309,4100.0,861,3634.0
310,3600.0,783,3626.0
311,3900.0,838,3640.0
312,4100.0,881,3640.0
313,4100.0,881,3648.0
314,1500.0,433,3596.0
315,3200.0,697,3612.0
316,1300.0,446,3616.0
317,2400.0,559,3586.0
318,4100.0,873,3608.0
319,4200.0,863,3610.0
320,3300.0,735,3620.0
321,4200.0,861,3620.0
322,1000.0,309,3556.0
323,3300.0,745,3540.0
324,700.0,255,3472.0
325,3900.0,829,3468.0
326,3600.0,761,3458.0
327,4200.0,870,3460.0
328,3900.0,834,3458.0
329,4000.0,874,3458.0
330,4100.0,872,3456.0
331,600.0,250,3386.0
332,4000.0,862,3414.0
333,4200.0,866,3442.0
334,4200.0,863,3456.0
335,2300.0,519,3420.0
336,4100.0,882,3432.0
337,2400.0,569,3400.0
338,4100.0,861,3454.0
339,2200.0,508,3420.0
340,4100.0,869,3420.0
341,4100.0,859,3420.0
342,4100.0,864,3420.0
343,3900.0,855,3416.0
344,3800.0,799,3408.0
345,4200.0,850,3446.0
346,3700.0,801,3460.0
347,4100.0,862,3458.0
348,3400.0,747,3444.0
349,4200.0,877,3448.0
350,4000.0,884,3486.0
351,2600.0,628,3456.0
352,2200.0,536,3422.0
353,4100.0,872,3420.0
354,2800.0,609,3394.0
355,3200.0,703,3408.0
356,1200.0,333,3352.0
357,700.0,293,3286.0
358,3200.0,688,3288.0
359,3900.0,844,3284.0
360,4200.0,865,3296.0
361,4200.0,857,3302.0
362,2700.0,600,3274.0
363,2500.0,581,3242.0
364,2600.0,576,3264.0
365,2800.0,605,3256.0
366,3700.0,754,3304.0
367,3100.0,671,3318.0
368,1800.0,479,3272.0
369,4100.0,872,3270.0
370,4300.0,858,3290.0
371,4100.0,869,3288.0
372,4200.0,859,3352.0
373,3400.0,725,3354.0
374,4000.0,866,3420.0
375,2000.0,518,3382.0
376,3000.0,655,3370.0
377,4300.0,854,3372.0
378,2200.0,560,3338.0
379,4200.0,861,3342.0
380,3300.0,705,3326.0
381,2300.0,576,3360.0
382,3600.0,775,3352.0
383,2500.0,582,3318.0
384,3200.0,715,3298.0
385,4200.0,874,3336.0
386,4200.0,868,3338.0
387,3100.0,698,3352.0
388,4200.0,864,3354.0
389,700.0,269,3324.0
390,3200.0,729,3306.0
391,3500.0,757,3294.0
392,4100.0,863,3294.0
393,4100.0,852,3298.0
394,4200.0,867,3306.0
395,3100.0,682,3284.0
396,4100.0,850,3292.0
397,4100.0,863,3292.0
398,4200.0,897,3308.0
399,4200.0,848,3308.0
400,4000.0,862,3308.0
401,2700.0,630,3310.0
402,2700.0,649,3320.0
403,3000.0,676,3298.0
404,2400.0,546,3290.0
405,3900.0,817,3304.0
406,4000.0,853,3360.0
407,4200.0,880,3430.0
408,4200.0,872,3450.0
409,4200.0,863,3456.0
410,4100.0,867,3454.0
411,4300.0,853,3456.0
412,4200.0,857,3486.0
413,4100.0,827,3518.0
414,3900.0,833,3544.0
415,4000.0,863,3568.0
416,4100.0,877,3576.0
417,4200.0,843,3598.0
418,4100.0,855,3644.0
419,4000.0,841,3642.0
420,4100.0,877,3638.0
421,2900.0,638,3614.0
422,1900.0,477,3568.0
423,4100.0,877,3582.0
424,4000.0,841,3582.0
425,2500.0,609,3592.0
426,2100.0,547,3574.0
427,4100.0,856,3570.0
428,3000.0,674,3586.0
429,4100.0,877,3584.0
430,2700.0,654,3572.0
431,3500.0,778,3596.0
432,3900.0,807,3602.0
433,3600.0,782,3624.0
434,2200.0,561,3604.0
435,3400.0,752,3588.0
436,2500.0,544,3554.0
437,4100.0,870,3574.0
438,4000.0,850,3570.0
439,4200.0,853,3640.0
440,4100.0,836,3658.0
441,4300.0,880,3674.0
442,2300.0,561,3638.0
443,4200.0,880,3640.0
444,4000.0,860,3636.0
445,4100.0,848,3656.0
446,3900.0,828,3652.0
447,2800.0,630,3626.0
448,3900.0,877,3620.0
449,2200.0,517,3580.0
450,4100.0,863,3582.0
451,3900.0,846,3606.0
452,4000.0,843,3632.0
453,4000.0,841,3652.0
454,2800.0,650,3660.0
455,4200.0,864,3666.0
456,3100.0,679,3648.0
457,2300.0,556,3610.0
458,3900.0,840,3604.0
459,4100.0,880,3602.0
460,2300.0,515,3566.0
461,4100.0,847,3562.0
462,2800.0,615,3534.0
463,4100.0,861,3534.0
464,4200.0,861,3540.0
465,4100.0,880,3542.0
466,3600.0,783,3532.0
467,3000.0,678,3508.0
468,4100.0,860,3508.0
469,4300.0,844,3514.0
470,3000.0,682,3492.0
471,4200.0,857,3518.0
472,4400.0,861,3568.0
473,4100.0,868,3568.0
474,4100.0,866,3570.0
475,4100.0,841,3602.0
476,4100.0,869,3642.0
477,3000.0,661,3620.0
478,900.0,314,3578.0
479,3800.0,780,3572.0
480,2700.0,624,3572.0
481,4300.0,878,3588.0
482,2600.0,606,3562.0
483,4000.0,870,3570.0
484,2400.0,578,3574.0
485,4100.0,850,3588.0
486,3600.0,750,3610.0
487,3800.0,832,3604.0
488,4200.0,835,3608.0
489,3600.0,768,3596.0
490,2800.0,635,3570.0
491,2200.0,532,3528.0
492,2100.0,511,3524.0
493,3600.0,737,3512.0
494,2700.0,623,3486.0
495,3900.0,827,3482.0
496,4200.0,855,3488.0
497,3800.0,823,3508.0
498,4100.0,861,3512.0
499,4100.0,856,3550.0
500,4200.0,862,3552.0
