episode,reward,steps,reward_ma_50
255,100.0,188,286.0
256,400.0,213,286.0
257,100.0,191,286.0
258,700.0,287,296.0
259,300.0,166,298.0
260,200.0,206,300.0
261,100.0,179,294.0
262,300.0,183,298.0
263,400.0,248,302.0
264,700.0,290,312.0
265,1000.0,329,330.0
266,300.0,221,332.0
267,500.0,298,342.0
268,800.0,283,352.0
269,600.0,299,360.0
270,200.0,224,356.0
271,100.0,170,346.0
272,100.0,189,336.0
273,900.0,310,346.0
274,500.0,276,348.0
275,100.0,173,344.0
276,700.0,271,354.0
277,400.0,244,354.0
278,400.0,253,362.0
279,400.0,237,362.0
280,500.0,277,370.0
281,300.0,230,368.0
282,400.0,254,372.0
283,100.0,212,370.0
284,300.0,232,376.0
285,700.0,250,380.0
286,400.0,250,382.0
287,700.0,239,394.0
288,100.0,175,394.0
289,100.0,142,390.0
290,600.0,295,398.0
291,800.0,321,406.0
292,800.0,301,414.0
293,400.0,236,416.0
294,700.0,295,424.0
295,200.0,221,420.0
296,200.0,204,416.0
297,200.0,239,414.0
298,300.0,213,412.0
299,100.0,187,404.0
300,1200.0,381,422.0
301,400.0,230,418.0
302,100.0,169,412.0
303,100.0,185,404.0
304,300.0,193,406.0
305,500.0,241,414.0
306,800.0,315,422.0
307,400.0,249,428.0
308,300.0,226,420.0
309,500.0,235,424.0
310,500.0,225,430.0
311,300.0,175,434.0
312,800.0,286,444.0
313,300.0,154,442.0
314,100.0,210,430.0
315,1000.0,318,430.0
316,100.0,200,426.0
317,800.0,331,432.0
318,400.0,252,424.0
319,500.0,214,422.0
320,200.0,201,422.0
321,800.0,272,436.0
322,300.0,217,440.0
323,600.0,253,434.0
324,200.0,235,428.0
325,700.0,290,440.0
326,400.0,210,434.0
327,1100.0,377,448.0
328,1800.0,474,476.0
329,200.0,174,472.0
330,800.0,288,478.0
331,600.0,275,484.0
332,500.0,253,486.0
333,500.0,240,494.0
334,400.0,187,496.0
335,1200.0,406,506.0
336,800.0,323,514.0
337,400.0,244,508.0
338,300.0,237,512.0
339,1000.0,323,530.0
340,700.0,257,532.0
341,1200.0,385,540.0
342,100.0,183,526.0
343,400.0,205,526.0
344,500.0,258,522.0
345,1100.0,308,540.0
346,800.0,259,552.0
347,300.0,165,554.0
348,800.0,344,564.0
349,500.0,236,572.0
350,500.0,263,558.0
351,100.0,190,552.0
352,1800.0,467,586.0
353,300.0,183,590.0
354,1100.0,335,606.0
355,400.0,268,604.0
356,200.0,185,592.0
357,900.0,312,602.0
358,900.0,355,614.0
359,2300.0,578,650.0
360,1300.0,377,666.0
361,1600.0,414,692.0
362,700.0,311,690.0
363,300.0,226,690.0
364,1500.0,416,718.0
365,400.0,244,706.0
366,300.0,221,710.0
367,400.0,235,702.0
368,300.0,176,700.0
